,bhk,area,region,price_in_cr
2,2,610,Borivali West,1.73
5,2,826,Parel,3.3
9,2,671,other,2.72
13,2,605,Jogeshwari West,1.55
16,1,450,Powai,1.39
17,3,1259,Ghansoli,2.8
19,3,1274,Andheri West,4.2
22,1,320,Chembur,0.6990000000000001
37,2,604,Jogeshwari East,1.44
38,3,1116,Mulund West,2.85
40,3,902,Goregaon West,2.59
45,1,448,Ghatkopar East,1.34
51,2,610,Borivali West,1.73
54,2,826,Parel,3.3
58,2,739,other,2.95
62,2,605,Jogeshwari West,1.55
65,1,450,Powai,1.39
66,3,1259,Ghansoli,2.8
68,3,1274,Andheri West,4.2
71,1,320,Chembur,0.6990000000000001
86,3,1056,Mulund West,2.45
88,3,902,Goregaon West,2.59
92,2,625,Mulund West,1.47
93,2,639,Ghatkopar East,1.91
106,2,610,Borivali West,1.73
107,2,610,Borivali West,1.73
125,3,1133,Parel,4.79
126,3,1133,Parel,4.79
174,2,859,Chembur,2.02
175,2,859,Chembur,2.02
178,1,430,Chembur,1.01
179,1,430,Chembur,1.01
180,2,705,Chembur,1.66
181,2,705,Chembur,1.66
182,1,421,Chembur,0.99
183,1,421,Chembur,0.99
184,2,610,Jogeshwari West,1.56
185,2,610,Jogeshwari West,1.56
197,1,431,Powai,1.35
198,1,431,Powai,1.35
207,2,725,Ghansoli,1.7
208,2,725,Ghansoli,1.7
209,4,1492,Ghansoli,3.4
210,4,1492,Ghansoli,3.4
211,2,715,Ghansoli,1.68
212,2,715,Ghansoli,1.68
213,1,505,Ghansoli,1.08
214,1,505,Ghansoli,1.08
216,2,644,Thane West,1.58
218,2,644,Thane West,1.58
219,2,635,Thane West,1.65
220,1,505,Ghansoli,1.08
221,4,1969,Andheri West,6.89
222,4,1969,Andheri West,6.89
226,2,685,Andheri West,2.26
227,2,685,Andheri West,2.26
228,3,1236,Andheri West,4.08
229,3,1236,Andheri West,4.08
270,1,384,Borivali East,0.9101
271,1,384,Borivali East,0.9101
276,2,618,Borivali East,1.46
277,2,618,Borivali East,1.46
298,1,427,Jogeshwari East,1.02
299,1,380,Jogeshwari East,0.912
326,4,1500,Kandivali East,5.6
345,3,1015,Mulund West,2.45
346,3,1116,Mulund West,2.85
347,3,1116,Mulund West,2.85
348,3,1056,Mulund West,2.45
349,3,1056,Mulund West,2.45
350,3,1015,Mulund West,2.45
351,3,1015,Mulund West,2.45
352,3,1116,Mulund West,2.85
353,3,1056,Mulund West,2.45
354,3,1015,Mulund West,2.45
356,3,1076,Andheri East,3.19
357,3,1076,Andheri East,3.19
358,3,1076,Andheri East,3.19
359,2,718,Andheri East,2.12
360,3,1076,Andheri East,3.19
361,2,758,Andheri East,2.24
362,2,718,Andheri East,2.12
363,3,991,Andheri East,2.94
364,2,758,Andheri East,2.24
365,3,991,Andheri East,2.94
366,2,618,Andheri East,1.82
367,2,618,Andheri East,1.82
368,3,1033,Andheri East,3.06
369,3,1033,Andheri East,3.06
370,3,913,Andheri East,2.7
371,3,913,Andheri East,2.7
376,3,948,Andheri East,2.81
377,3,948,Andheri East,2.81
379,2,668,Mira Road East,1.35
456,2,1233,Malad West,2.75
462,3,1180,Dadar West,4.75
467,3,1525,Borivali West,3.25
472,2,950,Mahim,3.4
474,3,939,Mulund West,2.58
476,3,905,Powai,2.75
477,3,905,Powai,2.75
478,3,905,Powai,2.75
479,3,905,Powai,2.75
480,3,944,Powai,2.86
481,3,944,Powai,2.86
482,2,611,Powai,1.75
483,2,611,Powai,1.75
484,2,615,Powai,1.76
485,2,615,Powai,1.76
500,2,645,Goregaon West,1.92
501,2,645,Goregaon West,1.92
502,3,902,Goregaon West,2.59
503,3,902,Goregaon West,2.59
504,2,645,Goregaon West,1.92
505,2,645,Goregaon West,1.92
522,1,420,Andheri West,1.0
523,1,380,Borivali East,0.88
524,2,764,Borivali East,1.85
535,3,1750,Powai,5.75
553,2,650,Agripada,2.62
562,2,800,Ville Parle East,2.5
570,2,1000,Ville Parle East,2.75
576,3,1300,Borivali East,3.19
582,5,2920,Santacruz West,12.0
595,2,676,Kanjurmarg,1.5
597,1,650,Kanjurmarg,1.34
615,2,790,Bandra West,3.75
621,1,475,Khar,2.75
624,1,600,Santacruz West,2.35
633,3,1800,Andheri West,3.6
645,1,464,Kandivali West,1.25
648,1,500,Sewri,1.3
669,1,650,Andheri West,2.0
670,3,1925,Prabhadevi,9.0
679,3,1300,Matunga,3.99
705,2,900,Kandivali East,1.95
714,4,2000,Santacruz West,12.0
729,3,3300,Lower Parel,12.0
734,2,715,Andheri East,1.65
735,2,715,Andheri East,1.65
736,2,715,Andheri East,1.65
737,2,715,Andheri East,1.65
738,2,715,Andheri East,1.65
739,2,715,Andheri East,1.65
744,2,660,Mulund West,1.6
745,2,850,Andheri East,2.25
772,2,653,Koper Khairane,1.5
773,2,653,Koper Khairane,1.5
774,2,653,Koper Khairane,1.5
786,2,770,Ghatkopar East,1.8
787,2,770,Ghatkopar East,1.8
788,2,770,Ghatkopar East,1.8
789,2,770,Ghatkopar East,1.8
790,2,770,Ghatkopar East,1.8
791,2,770,Ghatkopar East,1.8
792,2,770,Ghatkopar East,1.8
793,2,770,Ghatkopar East,1.8
794,2,770,Ghatkopar East,1.8
795,2,770,Ghatkopar East,1.8
796,2,770,Ghatkopar East,1.8
797,2,770,Ghatkopar East,1.8
798,2,770,Ghatkopar East,1.8
799,2,770,Ghatkopar East,1.8
810,2,771,Kandivali West,1.75
811,2,771,Kandivali West,1.75
812,2,771,Kandivali West,1.75
813,2,771,Kandivali West,1.75
814,2,771,Kandivali West,1.75
815,2,771,Kandivali West,1.75
816,2,771,Kandivali West,1.75
